attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,43,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,3,0,44,0,0,0,1,1,1,0,25,0,4
0,3,0,43,0,0,0,1,1,1,0,25,0,4
0,3,0,44,0,0,0,1,1,1,0,25,0,4
0,3,0,44,0,0,0,1,1,1,0,25,0,4
0,3,0,44,0,0,0,1,1,1,0,25,0,4
0,3,0,44,0,0,0,1,1,1,0,25,0,4
0,3,0,43,0,0,0,1,1,1,0,25,0,4
0,3,0,43,0,0,0,1,1,1,0,25,0,4
0,3,0,44,0,0,0,1,1,1,0,25,0,4
0,3,0,43,0,0,0,1,1,1,0,25,0,4
0,1,0,576,3,1,0,2,2,0,0,25,0,4
0,1,0,457,3,1,0,2,2,0,0,25,0,4
0,1,0,544,3,1,0,2,2,0,0,25,0,4
0,1,0,-4,3,1,0,2,2,0,0,25,0,4
0,1,0,-150,3,1,0,2,2,0,0,25,0,4
0,1,0,116,3,1,0,2,2,0,0,25,0,4
0,1,0,170,3,1,0,2,2,0,0,25,0,4
0,1,0,-359,3,1,0,2,2,0,0,25,0,4
0,1,0,-169,3,1,0,2,2,0,0,25,0,4
0,1,0,-38,3,1,0,2,2,0,0,25,0,4
0,744576,0,-456,153961,62276,25415,44326,28680,7767,215997,25,0,4
0,744576,0,-574,153961,62276,25415,44326,28680,7767,215997,25,0,4
0,744576,0,418,153961,62276,25415,44326,28680,7767,215997,25,0,4
0,744576,0,266,153961,62276,25415,44326,28680,7767,215997,25,0,4
0,744576,0,261,153961,62276,25415,44326,28680,7767,215997,25,0,4
0,744576,0,600,153961,62276,25415,44326,28680,7767,215997,25,0,4
0,744576,0,364,153961,62276,25415,44326,28680,7767,215997,25,0,4
0,744576,0,7,153961,62276,25415,44326,28680,7767,215997,25,0,4
0,744576,0,-10,153961,62276,25415,44326,28680,7767,215997,25,0,4
0,744576,0,-68,153961,62276,25415,44326,28680,7767,215997,25,0,4
0,2178491,0,157,192457,28956,26996,15259,26414,4436,377639,0,0,4
0,2178491,0,167,192457,28956,26996,15259,26414,4436,377639,0,0,4
0,2178491,0,-9,192457,28956,26996,15259,26414,4436,377639,0,0,4
0,2178491,0,-77,192457,28956,26996,15259,26414,4436,377639,0,0,4
0,2178491,0,82,192457,28956,26996,15259,26414,4436,377639,0,0,4
0,2178491,0,-148,192457,28956,26996,15259,26414,4436,377639,0,0,4
0,2178491,0,-172,192457,28956,26996,15259,26414,4436,377639,0,0,4
0,2178491,0,-66,192457,28956,26996,15259,26414,4436,377639,0,0,4
0,2178491,0,-92,192457,28956,26996,15259,26414,4436,377639,0,0,4
0,2178491,0,-17,192457,28956,26996,15259,26414,4436,377639,0,0,4
0,2012457,0,149,1298134,68970,429265,77785,49527,20386,874466,0,0,4
0,2012457,0,139,1298134,68970,429265,77785,49527,20386,874466,0,0,4
0,2012457,0,-295,1298134,68970,429265,77785,49527,20386,874466,0,0,4
0,2012457,0,-157,1298134,68970,429265,77785,49527,20386,874466,0,0,4
0,2012457,0,391,1298134,68970,429265,77785,49527,20386,874466,0,0,4
0,2012457,0,240,1298134,68970,429265,77785,49527,20386,874466,0,0,4
0,2012457,0,225,1298134,68970,429265,77785,49527,20386,874466,0,0,4
0,2012457,0,73,1298134,68970,429265,77785,49527,20386,874466,0,0,4
0,2012457,0,250,1298134,68970,429265,77785,49527,20386,874466,0,0,4
0,308106,0,80,166767,16145,13843,19678,2003,1405,100060,0,0,4
0,308106,0,-3,166767,16145,13843,19678,2003,1405,100060,0,0,4
0,308106,0,2,166767,16145,13843,19678,2003,1405,100060,0,0,4
0,308106,0,-125,166767,16145,13843,19678,2003,1405,100060,0,0,4
0,308106,0,-102,166767,16145,13843,19678,2003,1405,100060,0,0,4
0,308106,0,-392,166767,16145,13843,19678,2003,1405,100060,0,0,4
0,308106,0,-353,166767,16145,13843,19678,2003,1405,100060,0,0,4
0,308106,0,9,166767,16145,13843,19678,2003,1405,100060,0,0,4
0,308106,0,625,166767,16145,13843,19678,2003,1405,100060,0,0,4
