attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,805224,0,209,440246,245839,165725,235066,93291,157280,90587,51,0,2
0,805224,0,70,440246,245839,165725,235066,93291,157280,90587,51,0,2
0,805224,0,49,440246,245839,165725,235066,93291,157280,90587,51,0,2
0,805224,0,51,440246,245839,165725,235066,93291,157280,90587,51,0,2
0,805224,0,43,440246,245839,165725,235066,93291,157280,90587,51,0,2
0,805224,0,45,440246,245839,165725,235066,93291,157280,90587,51,0,2
0,805224,0,49,440246,245839,165725,235066,93291,157280,90587,51,0,2
0,805224,0,73,440246,245839,165725,235066,93291,157280,90587,51,0,2
0,805224,0,60,440246,245839,165725,235066,93291,157280,90587,51,0,2
0,652881,0,124,56702,16037,6801,6847,4161,996,1423,51,0,2
0,652881,0,98,56702,16037,6801,6847,4161,996,1423,51,0,2
0,652881,0,-2007,56702,16037,6801,6847,4161,996,1423,51,0,2
0,652881,0,1498,56702,16037,6801,6847,4161,996,1423,51,0,2
0,652881,0,301,56702,16037,6801,6847,4161,996,1423,51,0,2
0,652881,0,-977,56702,16037,6801,6847,4161,996,1423,51,0,2
0,652881,0,-1386,56702,16037,6801,6847,4161,996,1423,51,0,2
0,652881,0,-161,56702,16037,6801,6847,4161,996,1423,51,0,2
0,652881,0,1977,56702,16037,6801,6847,4161,996,1423,51,0,2
0,652881,0,2047,56702,16037,6801,6847,4161,996,1423,51,0,2
0,645966,0,2047,270336,22946,66626,97716,109256,165912,43518,51,0,2
0,645966,0,-1051,270336,22946,66626,97716,109256,165912,43518,51,0,2
0,645966,0,1403,270336,22946,66626,97716,109256,165912,43518,51,0,2
0,645966,0,-615,270336,22946,66626,97716,109256,165912,43518,51,0,2
0,645966,0,-1420,270336,22946,66626,97716,109256,165912,43518,51,0,2
0,645966,0,-182,270336,22946,66626,97716,109256,165912,43518,51,0,2
0,645966,0,2047,270336,22946,66626,97716,109256,165912,43518,51,0,2
0,645966,0,2047,270336,22946,66626,97716,109256,165912,43518,51,0,2
0,645966,0,-1436,270336,22946,66626,97716,109256,165912,43518,51,0,2
0,645966,0,-1366,270336,22946,66626,97716,109256,165912,43518,51,0,2
0,1049199,0,-126,204960,103296,152818,147524,203167,132579,37752,51,0,2
0,1049199,0,19,204960,103296,152818,147524,203167,132579,37752,51,0,2
0,1049199,0,42,204960,103296,152818,147524,203167,132579,37752,51,0,2
0,1049199,0,44,204960,103296,152818,147524,203167,132579,37752,51,0,2
0,1049199,0,1161,204960,103296,152818,147524,203167,132579,37752,51,0,2
0,1049199,0,-1735,204960,103296,152818,147524,203167,132579,37752,51,0,2
0,1049199,0,-1090,204960,103296,152818,147524,203167,132579,37752,51,0,2
0,1049199,0,-830,204960,103296,152818,147524,203167,132579,37752,51,0,2
0,1049199,0,1627,204960,103296,152818,147524,203167,132579,37752,51,0,2
0,1049199,0,713,204960,103296,152818,147524,203167,132579,37752,51,0,2
0,742360,0,-620,50808,127004,77944,93581,93679,66498,38078,51,0,2
0,742360,0,-2048,50808,127004,77944,93581,93679,66498,38078,51,0,2
0,742360,0,1574,50808,127004,77944,93581,93679,66498,38078,51,0,2
0,742360,0,-2048,50808,127004,77944,93581,93679,66498,38078,51,0,2
0,742360,0,2047,50808,127004,77944,93581,93679,66498,38078,51,0,2
0,742360,0,-593,50808,127004,77944,93581,93679,66498,38078,51,0,2
0,742360,0,-23,50808,127004,77944,93581,93679,66498,38078,51,0,2
0,742360,0,2047,50808,127004,77944,93581,93679,66498,38078,51,0,2
0,742360,0,-1803,50808,127004,77944,93581,93679,66498,38078,51,0,2
0,742360,0,106,50808,127004,77944,93581,93679,66498,38078,51,0,2
0,617709,0,2047,361759,93589,153587,68128,164276,60245,60954,51,0,2
0,617709,0,404,361759,93589,153587,68128,164276,60245,60954,51,0,2
0,617709,0,-615,361759,93589,153587,68128,164276,60245,60954,51,0,2
0,617709,0,2047,361759,93589,153587,68128,164276,60245,60954,51,0,2
0,617709,0,2047,361759,93589,153587,68128,164276,60245,60954,51,0,2
0,617709,0,1116,361759,93589,153587,68128,164276,60245,60954,51,0,2
0,617709,0,519,361759,93589,153587,68128,164276,60245,60954,51,0,2
0,617709,0,-1612,361759,93589,153587,68128,164276,60245,60954,51,0,2
0,617709,0,2047,361759,93589,153587,68128,164276,60245,60954,51,0,2
0,617709,0,-808,361759,93589,153587,68128,164276,60245,60954,51,0,2
0,2175464,0,-61,202005,107252,124931,53911,52389,82369,60043,51,0,2
0,2175464,0,28,202005,107252,124931,53911,52389,82369,60043,51,0,2
0,2175464,0,42,202005,107252,124931,53911,52389,82369,60043,51,0,2
0,2175464,0,801,202005,107252,124931,53911,52389,82369,60043,51,0,2
0,2175464,0,2047,202005,107252,124931,53911,52389,82369,60043,51,0,2
0,2175464,0,1558,202005,107252,124931,53911,52389,82369,60043,51,0,2
