attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,1015635,0,45,50245,11606,8505,4402,5074,3110,1400,51,0,1
0,1015635,0,45,50245,11606,8505,4402,5074,3110,1400,51,0,1
0,1015635,0,45,50245,11606,8505,4402,5074,3110,1400,51,0,1
0,1015635,0,48,50245,11606,8505,4402,5074,3110,1400,51,0,1
0,1015635,0,45,50245,11606,8505,4402,5074,3110,1400,51,0,1
0,1015635,0,45,50245,11606,8505,4402,5074,3110,1400,51,0,1
0,1015635,0,45,50245,11606,8505,4402,5074,3110,1400,51,0,1
0,1015635,0,45,50245,11606,8505,4402,5074,3110,1400,51,0,1
0,6,0,44,36,5,5,3,17,12,16,25,0,1
0,6,0,45,36,5,5,3,17,12,16,25,0,1
0,6,0,48,36,5,5,3,17,12,16,25,0,1
0,6,0,45,36,5,5,3,17,12,16,25,0,1
0,6,0,45,36,5,5,3,17,12,16,25,0,1
0,6,0,45,36,5,5,3,17,12,16,25,0,1
0,6,0,45,36,5,5,3,17,12,16,25,0,1
0,6,0,45,36,5,5,3,17,12,16,25,0,1
0,6,0,45,36,5,5,3,17,12,16,25,0,1
0,6,0,44,36,5,5,3,17,12,16,25,0,1
0,7,0,20,4,13,4,8,8,8,6,25,0,1
0,7,0,44,4,13,4,8,8,8,6,25,0,1
0,7,0,-649,4,13,4,8,8,8,6,25,0,1
0,7,0,-1373,4,13,4,8,8,8,6,25,0,1
0,7,0,-901,4,13,4,8,8,8,6,25,0,1
0,7,0,566,4,13,4,8,8,8,6,25,0,1
0,7,0,1969,4,13,4,8,8,8,6,25,0,1
0,7,0,2047,4,13,4,8,8,8,6,25,0,1
0,7,0,483,4,13,4,8,8,8,6,25,0,1
0,7,0,-1416,4,13,4,8,8,8,6,25,0,1
0,263870,0,1788,1237254,112170,210712,93543,133199,97308,180244,51,0,1
0,263870,0,1508,1237254,112170,210712,93543,133199,97308,180244,51,0,1
0,263870,0,368,1237254,112170,210712,93543,133199,97308,180244,51,0,1
0,263870,0,-1315,1237254,112170,210712,93543,133199,97308,180244,51,0,1
0,263870,0,-1234,1237254,112170,210712,93543,133199,97308,180244,51,0,1
0,263870,0,-584,1237254,112170,210712,93543,133199,97308,180244,51,0,1
0,263870,0,1067,1237254,112170,210712,93543,133199,97308,180244,51,0,1
0,263870,0,2033,1237254,112170,210712,93543,133199,97308,180244,51,0,1
0,263870,0,610,1237254,112170,210712,93543,133199,97308,180244,51,0,1
0,263870,0,-1202,1237254,112170,210712,93543,133199,97308,180244,51,0,1
0,1158156,0,1756,866546,60559,243456,44739,113572,64184,621855,26,0,1
0,1158156,0,1380,866546,60559,243456,44739,113572,64184,621855,26,0,1
0,1158156,0,91,866546,60559,243456,44739,113572,64184,621855,26,0,1
0,1158156,0,-1529,866546,60559,243456,44739,113572,64184,621855,26,0,1
0,1158156,0,-1329,866546,60559,243456,44739,113572,64184,621855,26,0,1
