attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,2382964,0,444,325732,32256,58778,58075,11936,6648,17374,26,0,4
0,2382964,0,-661,325732,32256,58778,58075,11936,6648,17374,26,0,4
0,2382964,0,760,325732,32256,58778,58075,11936,6648,17374,26,0,4
0,613822,0,182,30070,9435,12802,5307,6537,1239,11157,51,0,4
0,613822,0,-193,30070,9435,12802,5307,6537,1239,11157,51,0,4
0,613822,0,-1608,30070,9435,12802,5307,6537,1239,11157,51,0,4
0,613822,0,924,30070,9435,12802,5307,6537,1239,11157,51,0,4
0,613822,0,-356,30070,9435,12802,5307,6537,1239,11157,51,0,4
0,613822,0,-306,30070,9435,12802,5307,6537,1239,11157,51,0,4
0,613822,0,722,30070,9435,12802,5307,6537,1239,11157,51,0,4
0,613822,0,963,30070,9435,12802,5307,6537,1239,11157,51,0,4
0,613822,0,268,30070,9435,12802,5307,6537,1239,11157,51,0,4
0,613822,0,133,30070,9435,12802,5307,6537,1239,11157,51,0,4
0,1016169,0,109,186206,37536,15254,38716,68709,18845,48883,25,0,4
0,1016169,0,-502,186206,37536,15254,38716,68709,18845,48883,25,0,4
0,1016169,0,-466,186206,37536,15254,38716,68709,18845,48883,25,0,4
0,1016169,0,-524,186206,37536,15254,38716,68709,18845,48883,25,0,4
0,1016169,0,-577,186206,37536,15254,38716,68709,18845,48883,25,0,4
0,1016169,0,459,186206,37536,15254,38716,68709,18845,48883,25,0,4
0,1016169,0,213,186206,37536,15254,38716,68709,18845,48883,25,0,4
0,1016169,0,673,186206,37536,15254,38716,68709,18845,48883,25,0,4
0,1016169,0,-542,186206,37536,15254,38716,68709,18845,48883,25,0,4
0,1016169,0,384,186206,37536,15254,38716,68709,18845,48883,25,0,4
0,2601895,0,-330,278074,73099,37806,15815,10568,8290,114767,0,0,4
0,2601895,0,328,278074,73099,37806,15815,10568,8290,114767,0,0,4
0,2601895,0,-313,278074,73099,37806,15815,10568,8290,114767,0,0,4
0,2601895,0,-562,278074,73099,37806,15815,10568,8290,114767,0,0,4
0,2601895,0,653,278074,73099,37806,15815,10568,8290,114767,0,0,4
0,2601895,0,428,278074,73099,37806,15815,10568,8290,114767,0,0,4
0,2601895,0,217,278074,73099,37806,15815,10568,8290,114767,0,0,4
0,2601895,0,425,278074,73099,37806,15815,10568,8290,114767,0,0,4
0,2601895,0,-364,278074,73099,37806,15815,10568,8290,114767,0,0,4
0,2601895,0,-470,278074,73099,37806,15815,10568,8290,114767,0,0,4
0,320401,0,-274,75320,16638,12144,5190,4691,3534,26241,0,0,4
0,320401,0,-196,75320,16638,12144,5190,4691,3534,26241,0,0,4
0,320401,0,273,75320,16638,12144,5190,4691,3534,26241,0,0,4
0,320401,0,-66,75320,16638,12144,5190,4691,3534,26241,0,0,4
0,320401,0,506,75320,16638,12144,5190,4691,3534,26241,0,0,4
0,320401,0,583,75320,16638,12144,5190,4691,3534,26241,0,0,4
0,320401,0,277,75320,16638,12144,5190,4691,3534,26241,0,0,4
0,320401,0,291,75320,16638,12144,5190,4691,3534,26241,0,0,4
0,320401,0,187,75320,16638,12144,5190,4691,3534,26241,0,0,4
0,320401,0,-1124,75320,16638,12144,5190,4691,3534,26241,0,0,4
0,1420257,0,437,96764,16200,18457,12856,11661,2542,27618,0,0,4
0,1420257,0,437,96764,16200,18457,12856,11661,2542,27618,0,0,4
0,1420257,0,194,96764,16200,18457,12856,11661,2542,27618,0,0,4
0,1420257,0,-220,96764,16200,18457,12856,11661,2542,27618,0,0,4
0,1420257,0,-830,96764,16200,18457,12856,11661,2542,27618,0,0,4
0,1420257,0,-137,96764,16200,18457,12856,11661,2542,27618,0,0,4
0,1420257,0,1137,96764,16200,18457,12856,11661,2542,27618,0,0,4
0,1420257,0,435,96764,16200,18457,12856,11661,2542,27618,0,0,4
0,1420257,0,-740,96764,16200,18457,12856,11661,2542,27618,0,0,4
0,1420257,0,-876,96764,16200,18457,12856,11661,2542,27618,0,0,4
0,670638,0,-124,34264,10988,3503,5515,2733,902,7377,26,0,4
0,670638,0,50,34264,10988,3503,5515,2733,902,7377,26,0,4
0,670638,0,1181,34264,10988,3503,5515,2733,902,7377,26,0,4
0,670638,0,1209,34264,10988,3503,5515,2733,902,7377,26,0,4
0,670638,0,337,34264,10988,3503,5515,2733,902,7377,26,0,4
0,670638,0,97,34264,10988,3503,5515,2733,902,7377,26,0,4
0,670638,0,-119,34264,10988,3503,5515,2733,902,7377,26,0,4
0,670638,0,-819,34264,10988,3503,5515,2733,902,7377,26,0,4
0,670638,0,480,34264,10988,3503,5515,2733,902,7377,26,0,4
0,670638,0,-1579,34264,10988,3503,5515,2733,902,7377,26,0,4
0,2439254,0,-71,92728,41845,25980,6815,4067,1117,5328,26,0,4
0,2439254,0,-886,92728,41845,25980,6815,4067,1117,5328,26,0,4
0,2439254,0,1494,92728,41845,25980,6815,4067,1117,5328,26,0,4
0,2439254,0,1060,92728,41845,25980,6815,4067,1117,5328,26,0,4
0,2439254,0,205,92728,41845,25980,6815,4067,1117,5328,26,0,4
0,2439254,0,72,92728,41845,25980,6815,4067,1117,5328,26,0,4
0,2439254,0,27,92728,41845,25980,6815,4067,1117,5328,26,0,4
0,2439254,0,-595,92728,41845,25980,6815,4067,1117,5328,26,0,4
0,2439254,0,-1437,92728,41845,25980,6815,4067,1117,5328,26,0,4
0,2439254,0,-713,92728,41845,25980,6815,4067,1117,5328,26,0,4
0,1352365,0,-65,24439,35711,27700,20979,33631,27509,14559,51,0,4
0,1352365,0,2047,24439,35711,27700,20979,33631,27509,14559,51,0,4
0,1352365,0,933,24439,35711,27700,20979,33631,27509,14559,51,0,4
0,1352365,0,188,24439,35711,27700,20979,33631,27509,14559,51,0,4
0,1352365,0,66,24439,35711,27700,20979,33631,27509,14559,51,0,4
0,1352365,0,8,24439,35711,27700,20979,33631,27509,14559,51,0,4
0,1352365,0,-62,24439,35711,27700,20979,33631,27509,14559,51,0,4
0,1352365,0,-234,24439,35711,27700,20979,33631,27509,14559,51,0,4
0,1352365,0,-155,24439,35711,27700,20979,33631,27509,14559,51,0,4
0,1933093,0,534,24780,38110,5704,17474,4606,2095,2656,25,0,4
0,1933093,0,177,24780,38110,5704,17474,4606,2095,2656,25,0,4
0,1933093,0,58,24780,38110,5704,17474,4606,2095,2656,25,0,4
0,1933093,0,-342,24780,38110,5704,17474,4606,2095,2656,25,0,4
0,1933093,0,-110,24780,38110,5704,17474,4606,2095,2656,25,0,4
0,1933093,0,1056,24780,38110,5704,17474,4606,2095,2656,25,0,4
0,1933093,0,-502,24780,38110,5704,17474,4606,2095,2656,25,0,4
0,1933093,0,-295,24780,38110,5704,17474,4606,2095,2656,25,0,4
0,1933093,0,-627,24780,38110,5704,17474,4606,2095,2656,25,0,4
0,1933093,0,-276,24780,38110,5704,17474,4606,2095,2656,25,0,4
41,1586739,30,-268,531524,55918,74642,39202,31637,14615,42755,0,0,4
41,1586739,30,-10,531524,55918,74642,39202,31637,14615,42755,0,0,4
41,1586739,30,348,531524,55918,74642,39202,31637,14615,42755,0,0,4
41,1586739,30,35,531524,55918,74642,39202,31637,14615,42755,0,0,4
41,1586739,30,147,531524,55918,74642,39202,31637,14615,42755,0,0,4
41,1586739,30,136,531524,55918,74642,39202,31637,14615,42755,0,0,4
41,1586739,30,-119,531524,55918,74642,39202,31637,14615,42755,0,0,4
41,1586739,30,-102,531524,55918,74642,39202,31637,14615,42755,0,0,4
41,1586739,30,-8,531524,55918,74642,39202,31637,14615,42755,0,0,4
41,1586739,30,2,531524,55918,74642,39202,31637,14615,42755,0,0,4
23,914846,51,41,282804,84201,39344,29055,6731,3080,120440,0,0,4
23,914846,51,356,282804,84201,39344,29055,6731,3080,120440,0,0,4
23,914846,51,-169,282804,84201,39344,29055,6731,3080,120440,0,0,4
23,914846,51,-1301,282804,84201,39344,29055,6731,3080,120440,0,0,4
23,914846,51,-506,282804,84201,39344,29055,6731,3080,120440,0,0,4
23,914846,51,1992,282804,84201,39344,29055,6731,3080,120440,0,0,4
23,914846,51,705,282804,84201,39344,29055,6731,3080,120440,0,0,4
23,914846,51,-305,282804,84201,39344,29055,6731,3080,120440,0,0,4
23,914846,51,348,282804,84201,39344,29055,6731,3080,120440,0,0,4
23,914846,51,98,282804,84201,39344,29055,6731,3080,120440,0,0,4
23,577188,51,578,67892,19316,12964,5447,5170,3069,20215,26,0,4
23,577188,51,487,67892,19316,12964,5447,5170,3069,20215,26,0,4
23,577188,51,84,67892,19316,12964,5447,5170,3069,20215,26,0,4
23,577188,51,-69,67892,19316,12964,5447,5170,3069,20215,26,0,4
23,577188,51,-49,67892,19316,12964,5447,5170,3069,20215,26,0,4
23,577188,51,-214,67892,19316,12964,5447,5170,3069,20215,26,0,4
23,577188,51,-216,67892,19316,12964,5447,5170,3069,20215,26,0,4
23,577188,51,-182,67892,19316,12964,5447,5170,3069,20215,26,0,4
23,577188,51,209,67892,19316,12964,5447,5170,3069,20215,26,0,4
23,577188,51,-121,67892,19316,12964,5447,5170,3069,20215,26,0,4
34,1095136,60,310,47912,15361,5956,12037,5106,700,21623,0,0,4
34,1095136,60,-609,47912,15361,5956,12037,5106,700,21623,0,0,4
34,1095136,60,-1388,47912,15361,5956,12037,5106,700,21623,0,0,4
34,1095136,60,936,47912,15361,5956,12037,5106,700,21623,0,0,4
34,1095136,60,1640,47912,15361,5956,12037,5106,700,21623,0,0,4
34,1095136,60,-301,47912,15361,5956,12037,5106,700,21623,0,0,4
34,1095136,60,-306,47912,15361,5956,12037,5106,700,21623,0,0,4
34,1095136,60,-25,47912,15361,5956,12037,5106,700,21623,0,0,4
34,1095136,60,-87,47912,15361,5956,12037,5106,700,21623,0,0,4
34,1095136,60,181,47912,15361,5956,12037,5106,700,21623,0,0,4
34,838922,60,156,20864,7198,20506,6360,14256,1472,8697,26,0,4
34,838922,60,385,20864,7198,20506,6360,14256,1472,8697,26,0,4
34,838922,60,-182,20864,7198,20506,6360,14256,1472,8697,26,0,4
34,838922,60,-369,20864,7198,20506,6360,14256,1472,8697,26,0,4
34,838922,60,182,20864,7198,20506,6360,14256,1472,8697,26,0,4
34,838922,60,-338,20864,7198,20506,6360,14256,1472,8697,26,0,4
34,838922,60,-71,20864,7198,20506,6360,14256,1472,8697,26,0,4
34,838922,60,-327,20864,7198,20506,6360,14256,1472,8697,26,0,4
34,838922,60,373,20864,7198,20506,6360,14256,1472,8697,26,0,4
34,838922,60,296,20864,7198,20506,6360,14256,1472,8697,26,0,4
47,685045,80,298,16325,5626,4743,7455,2403,1252,4182,0,0,4
47,685045,80,178,16325,5626,4743,7455,2403,1252,4182,0,0,4
47,685045,80,-585,16325,5626,4743,7455,2403,1252,4182,0,0,4
47,685045,80,-233,16325,5626,4743,7455,2403,1252,4182,0,0,4
47,685045,80,675,16325,5626,4743,7455,2403,1252,4182,0,0,4
47,685045,80,32,16325,5626,4743,7455,2403,1252,4182,0,0,4
47,685045,80,-345,16325,5626,4743,7455,2403,1252,4182,0,0,4
47,685045,80,-776,16325,5626,4743,7455,2403,1252,4182,0,0,4
47,685045,80,311,16325,5626,4743,7455,2403,1252,4182,0,0,4
47,685045,80,570,16325,5626,4743,7455,2403,1252,4182,0,0,4
67,1924618,100,467,24584,126836,68285,18261,31239,5715,24900,0,0,4
67,1924618,100,-165,24584,126836,68285,18261,31239,5715,24900,0,0,4
67,1924618,100,124,24584,126836,68285,18261,31239,5715,24900,0,0,4
67,1924618,100,-2048,24584,126836,68285,18261,31239,5715,24900,0,0,4
67,1924618,100,-70,24584,126836,68285,18261,31239,5715,24900,0,0,4
67,1924618,100,1411,24584,126836,68285,18261,31239,5715,24900,0,0,4
67,1924618,100,770,24584,126836,68285,18261,31239,5715,24900,0,0,4
67,1924618,100,146,24584,126836,68285,18261,31239,5715,24900,0,0,4
67,1924618,100,-62,24584,126836,68285,18261,31239,5715,24900,0,0,4
67,1924618,100,219,24584,126836,68285,18261,31239,5715,24900,0,0,4
67,1095170,100,26,17277,6571,10861,19874,8274,2432,4811,26,0,4
67,1095170,100,-129,17277,6571,10861,19874,8274,2432,4811,26,0,4
67,1095170,100,19,17277,6571,10861,19874,8274,2432,4811,26,0,4
67,1095170,100,-43,17277,6571,10861,19874,8274,2432,4811,26,0,4
67,1095170,100,-636,17277,6571,10861,19874,8274,2432,4811,26,0,4
67,1095170,100,-762,17277,6571,10861,19874,8274,2432,4811,26,0,4
67,1095170,100,-179,17277,6571,10861,19874,8274,2432,4811,26,0,4
67,1095170,100,233,17277,6571,10861,19874,8274,2432,4811,26,0,4
67,1095170,100,966,17277,6571,10861,19874,8274,2432,4811,26,0,4
67,1095170,100,258,17277,6571,10861,19874,8274,2432,4811,26,0,4
94,860476,75,-515,165567,14114,30026,56892,13332,4105,23016,0,0,4
94,860476,75,939,165567,14114,30026,56892,13332,4105,23016,0,0,4
94,860476,75,139,165567,14114,30026,56892,13332,4105,23016,0,0,4
94,860476,75,32,165567,14114,30026,56892,13332,4105,23016,0,0,4
94,860476,75,-385,165567,14114,30026,56892,13332,4105,23016,0,0,4
94,860476,75,-633,165567,14114,30026,56892,13332,4105,23016,0,0,4
94,860476,75,-18,165567,14114,30026,56892,13332,4105,23016,0,0,4
94,860476,75,436,165567,14114,30026,56892,13332,4105,23016,0,0,4
94,860476,75,187,165567,14114,30026,56892,13332,4105,23016,0,0,4
94,860476,75,171,165567,14114,30026,56892,13332,4105,23016,0,0,4
100,1802910,66,28,120530,43655,38359,11263,22672,3680,25177,0,0,4
100,1802910,66,-58,120530,43655,38359,11263,22672,3680,25177,0,0,4
100,1802910,66,-134,120530,43655,38359,11263,22672,3680,25177,0,0,4
100,1802910,66,-68,120530,43655,38359,11263,22672,3680,25177,0,0,4
100,1802910,66,-264,120530,43655,38359,11263,22672,3680,25177,0,0,4
100,1802910,66,-788,120530,43655,38359,11263,22672,3680,25177,0,0,4
100,1802910,66,235,120530,43655,38359,11263,22672,3680,25177,0,0,4
100,1802910,66,753,120530,43655,38359,11263,22672,3680,25177,0,0,4
100,1802910,66,450,120530,43655,38359,11263,22672,3680,25177,0,0,4
100,1802910,66,294,120530,43655,38359,11263,22672,3680,25177,0,0,4
90,1295354,54,32,107993,56722,65095,15961,9791,3800,100251,0,0,4
90,1295354,54,-172,107993,56722,65095,15961,9791,3800,100251,0,0,4
90,1295354,54,71,107993,56722,65095,15961,9791,3800,100251,0,0,4
90,1295354,54,579,107993,56722,65095,15961,9791,3800,100251,0,0,4
90,1295354,54,230,107993,56722,65095,15961,9791,3800,100251,0,0,4
90,1295354,54,48,107993,56722,65095,15961,9791,3800,100251,0,0,4
90,1295354,54,-513,107993,56722,65095,15961,9791,3800,100251,0,0,4
90,1295354,54,140,107993,56722,65095,15961,9791,3800,100251,0,0,4
90,1295354,54,-30,107993,56722,65095,15961,9791,3800,100251,0,0,4
90,1295354,54,-88,107993,56722,65095,15961,9791,3800,100251,0,0,4
78,665778,43,-324,51297,52581,21886,12322,10030,1933,35831,0,0,4
78,665778,43,18,51297,52581,21886,12322,10030,1933,35831,0,0,4
78,665778,43,-59,51297,52581,21886,12322,10030,1933,35831,0,0,4
78,665778,43,138,51297,52581,21886,12322,10030,1933,35831,0,0,4
78,665778,43,1031,51297,52581,21886,12322,10030,1933,35831,0,0,4
78,665778,43,233,51297,52581,21886,12322,10030,1933,35831,0,0,4
78,665778,43,-2,51297,52581,21886,12322,10030,1933,35831,0,0,4
78,665778,43,147,51297,52581,21886,12322,10030,1933,35831,0,0,4
78,665778,43,-193,51297,52581,21886,12322,10030,1933,35831,0,0,4
78,665778,43,-556,51297,52581,21886,12322,10030,1933,35831,0,0,4
75,1078970,53,549,41489,2519,14299,11037,3416,1699,21199,0,0,4
75,1078970,53,561,41489,2519,14299,11037,3416,1699,21199,0,0,4
75,1078970,53,284,41489,2519,14299,11037,3416,1699,21199,0,0,4
75,1078970,53,243,41489,2519,14299,11037,3416,1699,21199,0,0,4
75,1078970,53,18,41489,2519,14299,11037,3416,1699,21199,0,0,4
75,1078970,53,-296,41489,2519,14299,11037,3416,1699,21199,0,0,4
75,1078970,53,-717,41489,2519,14299,11037,3416,1699,21199,0,0,4
75,1078970,53,-3,41489,2519,14299,11037,3416,1699,21199,0,0,4
75,1078970,53,1034,41489,2519,14299,11037,3416,1699,21199,0,0,4
63,1005974,47,18,26509,3987,9960,8217,2682,1419,9599,0,0,4
63,1005974,47,274,26509,3987,9960,8217,2682,1419,9599,0,0,4
63,1005974,47,-405,26509,3987,9960,8217,2682,1419,9599,0,0,4
