attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,1,0,1,1,0,1,0,25,0,1
0,0,0,43,1,0,1,1,0,1,0,25,0,1
0,0,0,44,1,0,1,1,0,1,0,25,0,1
0,0,0,44,1,0,1,1,0,1,0,25,0,1
0,0,0,44,1,0,1,1,0,1,0,25,0,1
0,0,0,43,1,0,1,1,0,1,0,25,0,1
0,0,0,44,1,0,1,1,0,1,0,25,0,1
0,0,0,44,1,0,1,1,0,1,0,25,0,1
0,0,0,44,1,0,1,1,0,1,0,25,0,1
0,0,0,44,1,0,1,1,0,1,0,25,0,1
0,3,0,1877,0,0,5,1,1,0,1,25,0,1
0,3,0,726,0,0,5,1,1,0,1,25,0,1
0,3,0,-802,0,0,5,1,1,0,1,25,0,1
0,3,0,-1252,0,0,5,1,1,0,1,25,0,1
0,3,0,-842,0,0,5,1,1,0,1,25,0,1
0,3,0,116,0,0,5,1,1,0,1,25,0,1
0,3,0,860,0,0,5,1,1,0,1,25,0,1
0,3,0,1169,0,0,5,1,1,0,1,25,0,1
0,3,0,888,0,0,5,1,1,0,1,25,0,1
0,3,0,-573,0,0,5,1,1,0,1,25,0,1
0,1149031,0,1089,642324,424944,471620,756009,794071,255353,770337,51,0,1
0,1149031,0,1139,642324,424944,471620,756009,794071,255353,770337,51,0,1
0,1149031,0,294,642324,424944,471620,756009,794071,255353,770337,51,0,1
0,1149031,0,-884,642324,424944,471620,756009,794071,255353,770337,51,0,1
0,1149031,0,-1170,642324,424944,471620,756009,794071,255353,770337,51,0,1
0,1149031,0,-759,642324,424944,471620,756009,794071,255353,770337,51,0,1
0,1149031,0,498,642324,424944,471620,756009,794071,255353,770337,51,0,1
0,1149031,0,867,642324,424944,471620,756009,794071,255353,770337,51,0,1
0,1149031,0,992,642324,424944,471620,756009,794071,255353,770337,51,0,1
0,1978194,0,1048,794353,1092845,266244,526200,1120335,389568,897717,26,0,1
0,1978194,0,8,794353,1092845,266244,526200,1120335,389568,897717,26,0,1
0,1978194,0,854,794353,1092845,266244,526200,1120335,389568,897717,26,0,1
0,1978194,0,1226,794353,1092845,266244,526200,1120335,389568,897717,26,0,1
0,1978194,0,1060,794353,1092845,266244,526200,1120335,389568,897717,26,0,1
0,1978194,0,-301,794353,1092845,266244,526200,1120335,389568,897717,26,0,1
0,1978194,0,-989,794353,1092845,266244,526200,1120335,389568,897717,26,0,1
0,1978194,0,-981,794353,1092845,266244,526200,1120335,389568,897717,26,0,1
0,1978194,0,-325,794353,1092845,266244,526200,1120335,389568,897717,26,0,1
0,1978194,0,817,794353,1092845,266244,526200,1120335,389568,897717,26,0,1
0,791612,0,355,219260,170969,255603,202188,224471,150123,290421,26,0,1
