attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,43,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,43,0,0,0,0,0,0,0,0,0,2
0,0,0,43,0,0,0,0,0,0,0,0,0,2
0,3,0,43,2,1,1,4,1,0,1,25,0,2
0,3,0,44,2,1,1,4,1,0,1,25,0,2
0,3,0,44,2,1,1,4,1,0,1,25,0,2
0,3,0,43,2,1,1,4,1,0,1,25,0,2
0,3,0,44,2,1,1,4,1,0,1,25,0,2
0,3,0,44,2,1,1,4,1,0,1,25,0,2
0,3,0,44,2,1,1,4,1,0,1,25,0,2
0,3,0,44,2,1,1,4,1,0,1,25,0,2
0,3,0,44,2,1,1,4,1,0,1,25,0,2
0,3,0,44,2,1,1,4,1,0,1,25,0,2
0,21,0,1920,2,0,1,2,1,1,1,25,0,2
0,21,0,393,2,0,1,2,1,1,1,25,0,2
0,21,0,226,2,0,1,2,1,1,1,25,0,2
0,21,0,77,2,0,1,2,1,1,1,25,0,2
0,21,0,-57,2,0,1,2,1,1,1,25,0,2
0,21,0,-69,2,0,1,2,1,1,1,25,0,2
0,21,0,-34,2,0,1,2,1,1,1,25,0,2
0,21,0,65,2,0,1,2,1,1,1,25,0,2
0,21,0,130,2,0,1,2,1,1,1,25,0,2
0,21,0,209,2,0,1,2,1,1,1,25,0,2
0,320171,0,-179,21701,3669,4515,4769,3970,483,24697,25,0,2
0,320171,0,90,21701,3669,4515,4769,3970,483,24697,25,0,2
0,320171,0,-22,21701,3669,4515,4769,3970,483,24697,25,0,2
