attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,45,0,0,0,0,0,0,0,0,0,3
0,0,0,45,0,0,0,0,0,0,0,0,0,3
0,0,0,44,0,0,0,0,0,0,0,0,0,3
0,0,0,44,0,0,0,0,0,0,0,0,0,3
0,0,0,2047,0,0,0,0,0,0,0,0,0,3
0,0,0,-201,0,0,0,0,0,0,0,0,0,3
0,0,0,1097,0,0,0,0,0,0,0,0,0,3
0,0,0,772,0,0,0,0,0,0,0,0,0,3
0,0,0,776,0,0,0,0,0,0,0,0,0,3
0,0,0,1109,0,0,0,0,0,0,0,0,0,3
0,1728026,0,-1640,932661,156949,268991,135904,305396,412884,341793,51,0,3
0,1728026,0,1409,932661,156949,268991,135904,305396,412884,341793,51,0,3
0,1728026,0,1143,932661,156949,268991,135904,305396,412884,341793,51,0,3
