attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,45,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,45,0,0,0,0,0,0,0,0,0,4
0,0,0,45,0,0,0,0,0,0,0,0,0,4
0,0,0,45,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,45,0,0,0,0,0,0,0,0,0,4
0,0,0,45,0,0,0,0,0,0,0,0,0,4
0,1,0,45,3,0,1,2,2,1,1,25,0,4
0,1,0,44,3,0,1,2,2,1,1,25,0,4
0,1,0,44,3,0,1,2,2,1,1,25,0,4
0,1,0,774,3,0,1,2,2,1,1,25,0,4
0,1,0,1334,3,0,1,2,2,1,1,25,0,4
0,1,0,182,3,0,1,2,2,1,1,25,0,4
0,1,0,67,3,0,1,2,2,1,1,25,0,4
0,1,0,49,3,0,1,2,2,1,1,25,0,4
0,1,0,44,3,0,1,2,2,1,1,25,0,4
0,1,0,540,3,0,1,2,2,1,1,25,0,4
0,472578,0,-1947,76660,35067,62169,17046,8719,14858,45524,51,0,4
0,472578,0,-360,76660,35067,62169,17046,8719,14858,45524,51,0,4
0,472578,0,-582,76660,35067,62169,17046,8719,14858,45524,51,0,4
0,472578,0,-43,76660,35067,62169,17046,8719,14858,45524,51,0,4
0,472578,0,36,76660,35067,62169,17046,8719,14858,45524,51,0,4
0,472578,0,2047,76660,35067,62169,17046,8719,14858,45524,51,0,4
0,472578,0,583,76660,35067,62169,17046,8719,14858,45524,51,0,4
0,472578,0,128,76660,35067,62169,17046,8719,14858,45524,51,0,4
0,472578,0,57,76660,35067,62169,17046,8719,14858,45524,51,0,4
0,472578,0,45,76660,35067,62169,17046,8719,14858,45524,51,0,4
0,1887044,0,43,96640,54750,52407,38696,23470,39496,12051,51,0,4
0,1887044,0,-2048,96640,54750,52407,38696,23470,39496,12051,51,0,4
0,1887044,0,-674,96640,54750,52407,38696,23470,39496,12051,51,0,4
0,1887044,0,1612,96640,54750,52407,38696,23470,39496,12051,51,0,4
0,1887044,0,-1069,96640,54750,52407,38696,23470,39496,12051,51,0,4
0,1887044,0,1106,96640,54750,52407,38696,23470,39496,12051,51,0,4
0,1887044,0,-1347,96640,54750,52407,38696,23470,39496,12051,51,0,4
0,1887044,0,-168,96640,54750,52407,38696,23470,39496,12051,51,0,4
0,1887044,0,11,96640,54750,52407,38696,23470,39496,12051,51,0,4
0,1887044,0,1703,96640,54750,52407,38696,23470,39496,12051,51,0,4
0,1241459,0,250,591369,220537,365911,435457,190279,235116,87045,51,0,4
0,1241459,0,76,591369,220537,365911,435457,190279,235116,87045,51,0,4
0,1241459,0,50,591369,220537,365911,435457,190279,235116,87045,51,0,4
0,1241459,0,44,591369,220537,365911,435457,190279,235116,87045,51,0,4
0,1241459,0,43,591369,220537,365911,435457,190279,235116,87045,51,0,4
0,1241459,0,43,591369,220537,365911,435457,190279,235116,87045,51,0,4
0,1241459,0,43,591369,220537,365911,435457,190279,235116,87045,51,0,4
0,1241459,0,43,591369,220537,365911,435457,190279,235116,87045,51,0,4
0,1241459,0,-2048,591369,220537,365911,435457,190279,235116,87045,51,0,4
0,1241459,0,-841,591369,220537,365911,435457,190279,235116,87045,51,0,4
0,319712,0,-67,343409,43268,13564,24531,9660,4997,1506,25,0,4
0,319712,0,27,343409,43268,13564,24531,9660,4997,1506,25,0,4
0,319712,0,40,343409,43268,13564,24531,9660,4997,1506,25,0,4
0,319712,0,1450,343409,43268,13564,24531,9660,4997,1506,25,0,4
0,319712,0,263,343409,43268,13564,24531,9660,4997,1506,25,0,4
0,319712,0,77,343409,43268,13564,24531,9660,4997,1506,25,0,4
0,319712,0,49,343409,43268,13564,24531,9660,4997,1506,25,0,4
0,319712,0,52,343409,43268,13564,24531,9660,4997,1506,25,0,4
0,319712,0,44,343409,43268,13564,24531,9660,4997,1506,25,0,4
0,319712,0,43,343409,43268,13564,24531,9660,4997,1506,25,0,4
0,900526,0,225,108107,5549,9793,5294,3477,1258,813,25,0,4
0,900526,0,-413,108107,5549,9793,5294,3477,1258,813,25,0,4
0,900526,0,-24,108107,5549,9793,5294,3477,1258,813,25,0,4
