attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,341,0,0,0,0,0,0,0,0,0,4
0,0,0,54,0,0,0,0,0,0,0,0,0,4
0,0,0,-1324,0,0,0,0,0,0,0,0,0,4
0,0,0,1639,0,0,0,0,0,0,0,0,0,4
0,0,0,-620,0,0,0,0,0,0,0,0,0,4
0,0,0,736,0,0,0,0,0,0,0,0,0,4
0,0,0,353,0,0,0,0,0,0,0,0,0,4
0,0,0,149,0,0,0,0,0,0,0,0,0,4
0,0,0,64,0,0,0,0,0,0,0,0,0,4
0,620303,0,551,45090,4914,19414,10826,7172,744,684,51,0,4
0,620303,0,307,45090,4914,19414,10826,7172,744,684,51,0,4
0,620303,0,85,45090,4914,19414,10826,7172,744,684,51,0,4
0,620303,0,55,45090,4914,19414,10826,7172,744,684,51,0,4
0,620303,0,-136,45090,4914,19414,10826,7172,744,684,51,0,4
0,620303,0,-2048,45090,4914,19414,10826,7172,744,684,51,0,4
0,620303,0,17,45090,4914,19414,10826,7172,744,684,51,0,4
0,620303,0,1495,45090,4914,19414,10826,7172,744,684,51,0,4
0,620303,0,1014,45090,4914,19414,10826,7172,744,684,51,0,4
0,620303,0,294,45090,4914,19414,10826,7172,744,684,51,0,4
0,1180917,0,170,17456,10203,5625,6997,4834,761,559,51,0,4
0,1180917,0,-280,17456,10203,5625,6997,4834,761,559,51,0,4
0,1180917,0,-584,17456,10203,5625,6997,4834,761,559,51,0,4
0,1180917,0,755,17456,10203,5625,6997,4834,761,559,51,0,4
0,1180917,0,441,17456,10203,5625,6997,4834,761,559,51,0,4
0,1180917,0,114,17456,10203,5625,6997,4834,761,559,51,0,4
0,1180917,0,55,17456,10203,5625,6997,4834,761,559,51,0,4
0,1180917,0,-2048,17456,10203,5625,6997,4834,761,559,51,0,4
0,1180917,0,-340,17456,10203,5625,6997,4834,761,559,51,0,4
0,1180917,0,353,17456,10203,5625,6997,4834,761,559,51,0,4
0,1184203,0,374,89356,11097,11530,19401,18769,2770,1414,51,0,4
0,1184203,0,564,89356,11097,11530,19401,18769,2770,1414,51,0,4
0,1184203,0,836,89356,11097,11530,19401,18769,2770,1414,51,0,4
0,1184203,0,246,89356,11097,11530,19401,18769,2770,1414,51,0,4
0,1184203,0,244,89356,11097,11530,19401,18769,2770,1414,51,0,4
0,1184203,0,98,89356,11097,11530,19401,18769,2770,1414,51,0,4
0,1184203,0,198,89356,11097,11530,19401,18769,2770,1414,51,0,4
0,1184203,0,282,89356,11097,11530,19401,18769,2770,1414,51,0,4
0,1184203,0,101,89356,11097,11530,19401,18769,2770,1414,51,0,4
0,1184203,0,52,89356,11097,11530,19401,18769,2770,1414,51,0,4
0,234921,0,-2048,5274,1134,4037,2765,2967,2888,2311,0,0,4
0,234921,0,-284,5274,1134,4037,2765,2967,2888,2311,0,0,4
0,234921,0,301,5274,1134,4037,2765,2967,2888,2311,0,0,4
0,234921,0,675,5274,1134,4037,2765,2967,2888,2311,0,0,4
0,234921,0,-593,5274,1134,4037,2765,2967,2888,2311,0,0,4
0,234921,0,840,5274,1134,4037,2765,2967,2888,2311,0,0,4
0,234921,0,376,5274,1134,4037,2765,2967,2888,2311,0,0,4
0,234921,0,633,5274,1134,4037,2765,2967,2888,2311,0,0,4
0,234921,0,327,5274,1134,4037,2765,2967,2888,2311,0,0,4
0,234921,0,160,5274,1134,4037,2765,2967,2888,2311,0,0,4
0,2918940,0,-54,205938,49951,102342,105336,74756,31261,2384,51,0,4
0,2918940,0,76,205938,49951,102342,105336,74756,31261,2384,51,0,4
0,2918940,0,-169,205938,49951,102342,105336,74756,31261,2384,51,0,4
0,2918940,0,-373,205938,49951,102342,105336,74756,31261,2384,51,0,4
0,2918940,0,642,205938,49951,102342,105336,74756,31261,2384,51,0,4
0,2918940,0,-173,205938,49951,102342,105336,74756,31261,2384,51,0,4
0,2918940,0,291,205938,49951,102342,105336,74756,31261,2384,51,0,4
0,2918940,0,203,205938,49951,102342,105336,74756,31261,2384,51,0,4
0,2918940,0,-394,205938,49951,102342,105336,74756,31261,2384,51,0,4
0,2918940,0,-94,205938,49951,102342,105336,74756,31261,2384,51,0,4
0,2758622,0,564,479950,66096,621059,190522,103191,15311,16344,0,0,4
0,2758622,0,229,479950,66096,621059,190522,103191,15311,16344,0,0,4
0,2758622,0,39,479950,66096,621059,190522,103191,15311,16344,0,0,4
0,2758622,0,-749,479950,66096,621059,190522,103191,15311,16344,0,0,4
0,2758622,0,-1204,479950,66096,621059,190522,103191,15311,16344,0,0,4
0,2758622,0,587,479950,66096,621059,190522,103191,15311,16344,0,0,4
0,2758622,0,285,479950,66096,621059,190522,103191,15311,16344,0,0,4
