attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,94730,0,44,3233,2444,2202,865,1205,1597,1544,51,0,3
0,94730,0,44,3233,2444,2202,865,1205,1597,1544,51,0,3
0,94730,0,44,3233,2444,2202,865,1205,1597,1544,51,0,3
0,94730,0,44,3233,2444,2202,865,1205,1597,1544,51,0,3
0,94730,0,43,3233,2444,2202,865,1205,1597,1544,51,0,3
0,94730,0,-2048,3233,2444,2202,865,1205,1597,1544,51,0,3
0,94730,0,712,3233,2444,2202,865,1205,1597,1544,51,0,3
0,94730,0,149,3233,2444,2202,865,1205,1597,1544,51,0,3
0,94730,0,56,3233,2444,2202,865,1205,1597,1544,51,0,3
0,94730,0,48,3233,2444,2202,865,1205,1597,1544,51,0,3
0,364107,0,44,160785,186603,86159,167998,124951,102536,112677,51,0,3
0,364107,0,166,160785,186603,86159,167998,124951,102536,112677,51,0,3
0,364107,0,65,160785,186603,86159,167998,124951,102536,112677,51,0,3
0,364107,0,49,160785,186603,86159,167998,124951,102536,112677,51,0,3
0,364107,0,48,160785,186603,86159,167998,124951,102536,112677,51,0,3
0,364107,0,44,160785,186603,86159,167998,124951,102536,112677,51,0,3
0,364107,0,2047,160785,186603,86159,167998,124951,102536,112677,51,0,3
0,364107,0,546,160785,186603,86159,167998,124951,102536,112677,51,0,3
0,364107,0,122,160785,186603,86159,167998,124951,102536,112677,51,0,3
0,364107,0,370,160785,186603,86159,167998,124951,102536,112677,51,0,3
0,583928,0,964,168253,117971,195892,135810,141793,17884,21219,51,0,3
0,583928,0,150,168253,117971,195892,135810,141793,17884,21219,51,0,3
0,583928,0,308,168253,117971,195892,135810,141793,17884,21219,51,0,3
0,583928,0,85,168253,117971,195892,135810,141793,17884,21219,51,0,3
0,583928,0,-118,168253,117971,195892,135810,141793,17884,21219,51,0,3
0,583928,0,54,168253,117971,195892,135810,141793,17884,21219,51,0,3
0,583928,0,45,168253,117971,195892,135810,141793,17884,21219,51,0,3
0,583928,0,1867,168253,117971,195892,135810,141793,17884,21219,51,0,3
0,583928,0,913,168253,117971,195892,135810,141793,17884,21219,51,0,3
0,583928,0,180,168253,117971,195892,135810,141793,17884,21219,51,0,3
0,132284,0,60,25855,5542,16057,7973,8315,7968,6478,51,0,3
0,132284,0,48,25855,5542,16057,7973,8315,7968,6478,51,0,3
0,132284,0,44,25855,5542,16057,7973,8315,7968,6478,51,0,3
0,132284,0,44,25855,5542,16057,7973,8315,7968,6478,51,0,3
0,132284,0,45,25855,5542,16057,7973,8315,7968,6478,51,0,3
0,132284,0,43,25855,5542,16057,7973,8315,7968,6478,51,0,3
0,132284,0,44,25855,5542,16057,7973,8315,7968,6478,51,0,3
0,132284,0,44,25855,5542,16057,7973,8315,7968,6478,51,0,3
0,132284,0,-1788,25855,5542,16057,7973,8315,7968,6478,51,0,3
0,132284,0,1675,25855,5542,16057,7973,8315,7968,6478,51,0,3
0,1096463,0,256,484297,477832,206339,40627,23774,58185,32964,51,0,3
0,1096463,0,1591,484297,477832,206339,40627,23774,58185,32964,51,0,3
0,1096463,0,381,484297,477832,206339,40627,23774,58185,32964,51,0,3
0,1096463,0,331,484297,477832,206339,40627,23774,58185,32964,51,0,3
0,1096463,0,472,484297,477832,206339,40627,23774,58185,32964,51,0,3
0,1096463,0,614,484297,477832,206339,40627,23774,58185,32964,51,0,3
0,1096463,0,105,484297,477832,206339,40627,23774,58185,32964,51,0,3
0,1096463,0,72,484297,477832,206339,40627,23774,58185,32964,51,0,3
0,1096463,0,50,484297,477832,206339,40627,23774,58185,32964,51,0,3
0,1096463,0,-2048,484297,477832,206339,40627,23774,58185,32964,51,0,3
0,191023,0,939,91045,46111,75508,162469,91383,30521,5754,51,0,3
0,191023,0,185,91045,46111,75508,162469,91383,30521,5754,51,0,3
0,191023,0,265,91045,46111,75508,162469,91383,30521,5754,51,0,3
0,191023,0,-152,91045,46111,75508,162469,91383,30521,5754,51,0,3
0,191023,0,1413,91045,46111,75508,162469,91383,30521,5754,51,0,3
0,191023,0,189,91045,46111,75508,162469,91383,30521,5754,51,0,3
0,191023,0,68,91045,46111,75508,162469,91383,30521,5754,51,0,3
0,191023,0,49,91045,46111,75508,162469,91383,30521,5754,51,0,3
0,191023,0,44,91045,46111,75508,162469,91383,30521,5754,51,0,3
0,191023,0,44,91045,46111,75508,162469,91383,30521,5754,51,0,3
0,1700775,0,-2048,579154,268871,151918,87286,131432,55892,79223,51,0,3
