attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,43,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,2,0,44,1,0,1,2,1,0,1,25,0,4
0,2,0,44,1,0,1,2,1,0,1,25,0,4
0,2,0,44,1,0,1,2,1,0,1,25,0,4
0,2,0,43,1,0,1,2,1,0,1,25,0,4
0,2,0,44,1,0,1,2,1,0,1,25,0,4
0,2,0,44,1,0,1,2,1,0,1,25,0,4
0,2,0,43,1,0,1,2,1,0,1,25,0,4
0,2,0,44,1,0,1,2,1,0,1,25,0,4
0,2,0,43,1,0,1,2,1,0,1,25,0,4
0,2,0,44,1,0,1,2,1,0,1,25,0,4
0,9,0,50,2,1,0,1,0,0,0,25,0,4
0,9,0,-618,2,1,0,1,0,0,0,25,0,4
0,9,0,-185,2,1,0,1,0,0,0,25,0,4
0,9,0,308,2,1,0,1,0,0,0,25,0,4
0,9,0,453,2,1,0,1,0,0,0,25,0,4
0,9,0,291,2,1,0,1,0,0,0,25,0,4
0,9,0,454,2,1,0,1,0,0,0,25,0,4
0,9,0,83,2,1,0,1,0,0,0,25,0,4
0,9,0,13,2,1,0,1,0,0,0,25,0,4
0,9,0,-252,2,1,0,1,0,0,0,25,0,4
0,562179,0,145,508860,6906,343582,2124,180954,3044,834064,25,0,4
0,562179,0,-141,508860,6906,343582,2124,180954,3044,834064,25,0,4
0,562179,0,369,508860,6906,343582,2124,180954,3044,834064,25,0,4
0,562179,0,-1,508860,6906,343582,2124,180954,3044,834064,25,0,4
0,562179,0,177,508860,6906,343582,2124,180954,3044,834064,25,0,4
0,562179,0,307,508860,6906,343582,2124,180954,3044,834064,25,0,4
0,562179,0,354,508860,6906,343582,2124,180954,3044,834064,25,0,4
0,562179,0,374,508860,6906,343582,2124,180954,3044,834064,25,0,4
0,562179,0,21,508860,6906,343582,2124,180954,3044,834064,25,0,4
0,562179,0,-398,508860,6906,343582,2124,180954,3044,834064,25,0,4
0,932496,0,290,416665,26082,78645,23524,122278,2941,878214,0,0,4
0,932496,0,-133,416665,26082,78645,23524,122278,2941,878214,0,0,4
0,932496,0,219,416665,26082,78645,23524,122278,2941,878214,0,0,4
0,932496,0,-409,416665,26082,78645,23524,122278,2941,878214,0,0,4
0,932496,0,-290,416665,26082,78645,23524,122278,2941,878214,0,0,4
0,932496,0,-230,416665,26082,78645,23524,122278,2941,878214,0,0,4
0,932496,0,149,416665,26082,78645,23524,122278,2941,878214,0,0,4
0,932496,0,400,416665,26082,78645,23524,122278,2941,878214,0,0,4
0,932496,0,471,416665,26082,78645,23524,122278,2941,878214,0,0,4
0,932496,0,-54,416665,26082,78645,23524,122278,2941,878214,0,0,4
0,183132,0,139,670684,14018,207763,4216,168405,4817,876672,0,0,4
0,183132,0,203,670684,14018,207763,4216,168405,4817,876672,0,0,4
0,183132,0,-43,670684,14018,207763,4216,168405,4817,876672,0,0,4
0,183132,0,7,670684,14018,207763,4216,168405,4817,876672,0,0,4
0,183132,0,-87,670684,14018,207763,4216,168405,4817,876672,0,0,4
0,183132,0,-19,670684,14018,207763,4216,168405,4817,876672,0,0,4
0,183132,0,-259,670684,14018,207763,4216,168405,4817,876672,0,0,4
0,183132,0,337,670684,14018,207763,4216,168405,4817,876672,0,0,4
0,183132,0,-108,670684,14018,207763,4216,168405,4817,876672,0,0,4
0,183132,0,-29,670684,14018,207763,4216,168405,4817,876672,0,0,4
0,1736474,0,-305,960390,74336,193710,21634,176795,4403,935073,26,0,4
0,1736474,0,-2,960390,74336,193710,21634,176795,4403,935073,26,0,4
