attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,32599,0,18,22128,620,456,1791,743,108,186,25,0,1
0,32599,0,464,22128,620,456,1791,743,108,186,25,0,1
0,32599,0,292,22128,620,456,1791,743,108,186,25,0,1
0,32599,0,147,22128,620,456,1791,743,108,186,25,0,1
0,32599,0,582,22128,620,456,1791,743,108,186,25,0,1
0,32599,0,177,22128,620,456,1791,743,108,186,25,0,1
0,32599,0,70,22128,620,456,1791,743,108,186,25,0,1
0,32599,0,-356,22128,620,456,1791,743,108,186,25,0,1
0,32599,0,-1639,22128,620,456,1791,743,108,186,25,0,1
0,32599,0,256,22128,620,456,1791,743,108,186,25,0,1
0,1057335,0,935,35442,16665,15101,7181,1095,2303,2191,51,0,1
0,1057335,0,-141,35442,16665,15101,7181,1095,2303,2191,51,0,1
0,1057335,0,330,35442,16665,15101,7181,1095,2303,2191,51,0,1
0,1057335,0,115,35442,16665,15101,7181,1095,2303,2191,51,0,1
0,1057335,0,-94,35442,16665,15101,7181,1095,2303,2191,51,0,1
0,1057335,0,-1082,35442,16665,15101,7181,1095,2303,2191,51,0,1
0,1057335,0,240,35442,16665,15101,7181,1095,2303,2191,51,0,1
0,1057335,0,442,35442,16665,15101,7181,1095,2303,2191,51,0,1
0,1057335,0,294,35442,16665,15101,7181,1095,2303,2191,51,0,1
0,1057335,0,809,35442,16665,15101,7181,1095,2303,2191,51,0,1
0,698378,0,357,20201,3404,3729,5256,6537,854,615,26,0,1
0,698378,0,123,20201,3404,3729,5256,6537,854,615,26,0,1
0,698378,0,72,20201,3404,3729,5256,6537,854,615,26,0,1
0,698378,0,-506,20201,3404,3729,5256,6537,854,615,26,0,1
0,698378,0,-1180,20201,3404,3729,5256,6537,854,615,26,0,1
0,698378,0,188,20201,3404,3729,5256,6537,854,615,26,0,1
0,698378,0,1319,20201,3404,3729,5256,6537,854,615,26,0,1
0,698378,0,-955,20201,3404,3729,5256,6537,854,615,26,0,1
0,698378,0,-68,20201,3404,3729,5256,6537,854,615,26,0,1
0,698378,0,377,20201,3404,3729,5256,6537,854,615,26,0,1
0,2701252,0,96,244742,191226,81369,164997,56352,56656,44639,26,0,1
0,2701252,0,-5,244742,191226,81369,164997,56352,56656,44639,26,0,1
0,2701252,0,1035,244742,191226,81369,164997,56352,56656,44639,26,0,1
0,2701252,0,-247,244742,191226,81369,164997,56352,56656,44639,26,0,1
0,2701252,0,-646,244742,191226,81369,164997,56352,56656,44639,26,0,1
0,2701252,0,-307,244742,191226,81369,164997,56352,56656,44639,26,0,1
0,2701252,0,209,244742,191226,81369,164997,56352,56656,44639,26,0,1
0,2701252,0,-35,244742,191226,81369,164997,56352,56656,44639,26,0,1
0,2701252,0,119,244742,191226,81369,164997,56352,56656,44639,26,0,1
0,2701252,0,139,244742,191226,81369,164997,56352,56656,44639,26,0,1
0,1110899,0,82,117673,61970,35367,13781,19200,8003,4455,0,0,1
0,1110899,0,708,117673,61970,35367,13781,19200,8003,4455,0,0,1
0,1110899,0,201,117673,61970,35367,13781,19200,8003,4455,0,0,1
