attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,96437,0,18,52900,22631,10538,1905,1088,251,648,25,0,3
0,96437,0,794,52900,22631,10538,1905,1088,251,648,25,0,3
0,96437,0,225,52900,22631,10538,1905,1088,251,648,25,0,3
0,96437,0,-30,52900,22631,10538,1905,1088,251,648,25,0,3
0,96437,0,-124,52900,22631,10538,1905,1088,251,648,25,0,3
0,96437,0,71,52900,22631,10538,1905,1088,251,648,25,0,3
0,96437,0,160,52900,22631,10538,1905,1088,251,648,25,0,3
0,96437,0,133,52900,22631,10538,1905,1088,251,648,25,0,3
0,96437,0,97,52900,22631,10538,1905,1088,251,648,25,0,3
0,96437,0,240,52900,22631,10538,1905,1088,251,648,25,0,3
0,1123434,0,454,22786,42099,26906,25779,17440,11205,3612,25,0,3
0,1123434,0,283,22786,42099,26906,25779,17440,11205,3612,25,0,3
0,1123434,0,866,22786,42099,26906,25779,17440,11205,3612,25,0,3
0,1123434,0,272,22786,42099,26906,25779,17440,11205,3612,25,0,3
0,1123434,0,151,22786,42099,26906,25779,17440,11205,3612,25,0,3
0,1123434,0,-365,22786,42099,26906,25779,17440,11205,3612,25,0,3
0,1123434,0,1541,22786,42099,26906,25779,17440,11205,3612,25,0,3
0,1123434,0,633,22786,42099,26906,25779,17440,11205,3612,25,0,3
0,1123434,0,1203,22786,42099,26906,25779,17440,11205,3612,25,0,3
0,1123434,0,66,22786,42099,26906,25779,17440,11205,3612,25,0,3
0,747957,0,572,147805,52704,40194,54941,78023,24838,18227,26,0,3
0,747957,0,301,147805,52704,40194,54941,78023,24838,18227,26,0,3
0,747957,0,426,147805,52704,40194,54941,78023,24838,18227,26,0,3
0,747957,0,-34,147805,52704,40194,54941,78023,24838,18227,26,0,3
0,747957,0,121,147805,52704,40194,54941,78023,24838,18227,26,0,3
0,747957,0,185,147805,52704,40194,54941,78023,24838,18227,26,0,3
0,747957,0,1657,147805,52704,40194,54941,78023,24838,18227,26,0,3
0,747957,0,-1691,147805,52704,40194,54941,78023,24838,18227,26,0,3
0,747957,0,992,147805,52704,40194,54941,78023,24838,18227,26,0,3
0,747957,0,721,147805,52704,40194,54941,78023,24838,18227,26,0,3
0,230454,0,-904,150363,87010,44716,29117,64533,11628,4875,26,0,3
0,230454,0,690,150363,87010,44716,29117,64533,11628,4875,26,0,3
0,230454,0,-13,150363,87010,44716,29117,64533,11628,4875,26,0,3
0,230454,0,-819,150363,87010,44716,29117,64533,11628,4875,26,0,3
0,230454,0,753,150363,87010,44716,29117,64533,11628,4875,26,0,3
0,230454,0,-953,150363,87010,44716,29117,64533,11628,4875,26,0,3
0,230454,0,129,150363,87010,44716,29117,64533,11628,4875,26,0,3
0,230454,0,663,150363,87010,44716,29117,64533,11628,4875,26,0,3
0,230454,0,134,150363,87010,44716,29117,64533,11628,4875,26,0,3
0,230454,0,-678,150363,87010,44716,29117,64533,11628,4875,26,0,3
0,1055923,0,-828,120542,269829,91926,123860,206599,106462,58031,0,0,3
0,1055923,0,1571,120542,269829,91926,123860,206599,106462,58031,0,0,3
0,1055923,0,247,120542,269829,91926,123860,206599,106462,58031,0,0,3
0,1055923,0,43,120542,269829,91926,123860,206599,106462,58031,0,0,3
0,1055923,0,-1931,120542,269829,91926,123860,206599,106462,58031,0,0,3
0,1055923,0,-574,120542,269829,91926,123860,206599,106462,58031,0,0,3
0,1055923,0,608,120542,269829,91926,123860,206599,106462,58031,0,0,3
0,1055923,0,-245,120542,269829,91926,123860,206599,106462,58031,0,0,3
0,1055923,0,-449,120542,269829,91926,123860,206599,106462,58031,0,0,3
0,1055923,0,971,120542,269829,91926,123860,206599,106462,58031,0,0,3
0,678827,0,-164,24636,4159,26119,14984,20472,5154,10149,26,0,3
0,678827,0,955,24636,4159,26119,14984,20472,5154,10149,26,0,3
0,678827,0,374,24636,4159,26119,14984,20472,5154,10149,26,0,3
0,678827,0,-658,24636,4159,26119,14984,20472,5154,10149,26,0,3
0,678827,0,945,24636,4159,26119,14984,20472,5154,10149,26,0,3
0,678827,0,-657,24636,4159,26119,14984,20472,5154,10149,26,0,3
0,678827,0,-246,24636,4159,26119,14984,20472,5154,10149,26,0,3
0,678827,0,393,24636,4159,26119,14984,20472,5154,10149,26,0,3
0,678827,0,7,24636,4159,26119,14984,20472,5154,10149,26,0,3
0,678827,0,247,24636,4159,26119,14984,20472,5154,10149,26,0,3
0,1651417,0,180,515492,105297,172363,96046,118200,63168,24089,0,0,3
0,1651417,0,1414,515492,105297,172363,96046,118200,63168,24089,0,0,3
0,1651417,0,468,515492,105297,172363,96046,118200,63168,24089,0,0,3
0,1651417,0,-1171,515492,105297,172363,96046,118200,63168,24089,0,0,3
0,1651417,0,445,515492,105297,172363,96046,118200,63168,24089,0,0,3
0,1651417,0,-245,515492,105297,172363,96046,118200,63168,24089,0,0,3
0,1651417,0,1202,515492,105297,172363,96046,118200,63168,24089,0,0,3
0,1651417,0,613,515492,105297,172363,96046,118200,63168,24089,0,0,3
0,1651417,0,135,515492,105297,172363,96046,118200,63168,24089,0,0,3
0,1651417,0,55,515492,105297,172363,96046,118200,63168,24089,0,0,3
0,706516,0,-343,86078,16112,9275,3233,8085,12356,7038,26,0,3
0,706516,0,225,86078,16112,9275,3233,8085,12356,7038,26,0,3
0,706516,0,43,86078,16112,9275,3233,8085,12356,7038,26,0,3
0,706516,0,-981,86078,16112,9275,3233,8085,12356,7038,26,0,3
0,706516,0,-916,86078,16112,9275,3233,8085,12356,7038,26,0,3
0,706516,0,-578,86078,16112,9275,3233,8085,12356,7038,26,0,3
0,706516,0,-53,86078,16112,9275,3233,8085,12356,7038,26,0,3
0,706516,0,29,86078,16112,9275,3233,8085,12356,7038,26,0,3
0,706516,0,971,86078,16112,9275,3233,8085,12356,7038,26,0,3
0,706516,0,1013,86078,16112,9275,3233,8085,12356,7038,26,0,3
0,1138482,0,484,33354,2788,3989,3440,1522,1714,765,26,0,3
0,1138482,0,-226,33354,2788,3989,3440,1522,1714,765,26,0,3
