attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,43,0,0,0,0,0,0,0,0,0,4
0,0,0,43,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,4,0,43,3,0,0,0,1,1,1,25,0,4
0,4,0,44,3,0,0,0,1,1,1,25,0,4
0,4,0,43,3,0,0,0,1,1,1,25,0,4
0,4,0,44,3,0,0,0,1,1,1,25,0,4
0,4,0,43,3,0,0,0,1,1,1,25,0,4
0,4,0,43,3,0,0,0,1,1,1,25,0,4
0,4,0,44,3,0,0,0,1,1,1,25,0,4
0,4,0,44,3,0,0,0,1,1,1,25,0,4
0,4,0,44,3,0,0,0,1,1,1,25,0,4
0,4,0,44,3,0,0,0,1,1,1,25,0,4
0,4,0,-323,2,0,0,1,1,0,0,25,0,4
0,4,0,-26,2,0,0,1,1,0,0,25,0,4
0,4,0,391,2,0,0,1,1,0,0,25,0,4
0,4,0,602,2,0,0,1,1,0,0,25,0,4
0,4,0,360,2,0,0,1,1,0,0,25,0,4
0,4,0,-501,2,0,0,1,1,0,0,25,0,4
0,4,0,-185,2,0,0,1,1,0,0,25,0,4
0,4,0,-75,2,0,0,1,1,0,0,25,0,4
0,4,0,273,2,0,0,1,1,0,0,25,0,4
0,4,0,546,2,0,0,1,1,0,0,25,0,4
0,957796,0,-221,1012122,43902,178927,19298,141088,6946,774178,0,0,4
0,957796,0,-139,1012122,43902,178927,19298,141088,6946,774178,0,0,4
0,957796,0,236,1012122,43902,178927,19298,141088,6946,774178,0,0,4
0,957796,0,731,1012122,43902,178927,19298,141088,6946,774178,0,0,4
0,957796,0,413,1012122,43902,178927,19298,141088,6946,774178,0,0,4
0,957796,0,-61,1012122,43902,178927,19298,141088,6946,774178,0,0,4
0,957796,0,-785,1012122,43902,178927,19298,141088,6946,774178,0,0,4
0,957796,0,-171,1012122,43902,178927,19298,141088,6946,774178,0,0,4
0,957796,0,130,1012122,43902,178927,19298,141088,6946,774178,0,0,4
0,957796,0,492,1012122,43902,178927,19298,141088,6946,774178,0,0,4
0,159305,0,-129,467389,6404,300882,7400,206133,4041,975066,0,0,4
0,159305,0,-273,467389,6404,300882,7400,206133,4041,975066,0,0,4
0,159305,0,-121,467389,6404,300882,7400,206133,4041,975066,0,0,4
0,159305,0,392,467389,6404,300882,7400,206133,4041,975066,0,0,4
0,159305,0,693,467389,6404,300882,7400,206133,4041,975066,0,0,4
0,159305,0,444,467389,6404,300882,7400,206133,4041,975066,0,0,4
0,159305,0,-674,467389,6404,300882,7400,206133,4041,975066,0,0,4
0,159305,0,-540,467389,6404,300882,7400,206133,4041,975066,0,0,4
0,159305,0,-131,467389,6404,300882,7400,206133,4041,975066,0,0,4
0,159305,0,598,467389,6404,300882,7400,206133,4041,975066,0,0,4
0,526462,0,-59,578874,25843,180854,4368,227854,5582,900867,0,0,4
0,526462,0,-11,578874,25843,180854,4368,227854,5582,900867,0,0,4
0,526462,0,-392,578874,25843,180854,4368,227854,5582,900867,0,0,4
0,526462,0,327,578874,25843,180854,4368,227854,5582,900867,0,0,4
0,526462,0,641,578874,25843,180854,4368,227854,5582,900867,0,0,4
0,526462,0,505,578874,25843,180854,4368,227854,5582,900867,0,0,4
0,526462,0,176,578874,25843,180854,4368,227854,5582,900867,0,0,4
0,526462,0,-545,578874,25843,180854,4368,227854,5582,900867,0,0,4
0,526462,0,-529,578874,25843,180854,4368,227854,5582,900867,0,0,4
43,594917,40,-173,634220,30368,196097,11483,169977,4620,821794,0,0,4
43,594917,40,151,634220,30368,196097,11483,169977,4620,821794,0,0,4
43,594917,40,36,634220,30368,196097,11483,169977,4620,821794,0,0,4
43,594917,40,-273,634220,30368,196097,11483,169977,4620,821794,0,0,4
43,594917,40,-315,634220,30368,196097,11483,169977,4620,821794,0,0,4
43,594917,40,103,634220,30368,196097,11483,169977,4620,821794,0,0,4
43,594917,40,532,634220,30368,196097,11483,169977,4620,821794,0,0,4
43,594917,40,439,634220,30368,196097,11483,169977,4620,821794,0,0,4
43,594917,40,-46,634220,30368,196097,11483,169977,4620,821794,0,0,4
43,594917,40,-436,634220,30368,196097,11483,169977,4620,821794,0,0,4
61,297602,63,473,269995,77609,291560,6021,198319,3319,966739,0,0,4
61,297602,63,226,269995,77609,291560,6021,198319,3319,966739,0,0,4
