attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,43,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,43,0,0,0,0,0,0,0,0,0,4
0,0,0,43,0,0,0,0,0,0,0,0,0,4
0,0,0,43,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,0,0,44,0,0,0,0,0,0,0,0,0,4
0,2,0,44,1,1,0,1,1,0,1,25,0,4
0,2,0,43,1,1,0,1,1,0,1,25,0,4
0,2,0,44,1,1,0,1,1,0,1,25,0,4
0,2,0,43,1,1,0,1,1,0,1,25,0,4
0,2,0,44,1,1,0,1,1,0,1,25,0,4
0,2,0,43,1,1,0,1,1,0,1,25,0,4
0,2,0,44,1,1,0,1,1,0,1,25,0,4
0,2,0,43,1,1,0,1,1,0,1,25,0,4
0,2,0,43,1,1,0,1,1,0,1,25,0,4
0,2,0,44,1,1,0,1,1,0,1,25,0,4
0,0,0,-1081,1,2,1,2,1,1,2,25,0,4
0,0,0,-451,1,2,1,2,1,1,2,25,0,4
0,0,0,323,1,2,1,2,1,1,2,25,0,4
0,0,0,-92,1,2,1,2,1,1,2,25,0,4
0,0,0,40,1,2,1,2,1,1,2,25,0,4
0,0,0,39,1,2,1,2,1,1,2,25,0,4
0,0,0,45,1,2,1,2,1,1,2,25,0,4
0,0,0,115,1,2,1,2,1,1,2,25,0,4
0,0,0,1545,1,2,1,2,1,1,2,25,0,4
0,0,0,219,1,2,1,2,1,1,2,25,0,4
0,595908,0,-35,44844,12056,12813,8174,10404,4576,16616,51,0,4
0,595908,0,605,44844,12056,12813,8174,10404,4576,16616,51,0,4
0,595908,0,-202,44844,12056,12813,8174,10404,4576,16616,51,0,4
0,595908,0,-276,44844,12056,12813,8174,10404,4576,16616,51,0,4
0,595908,0,480,44844,12056,12813,8174,10404,4576,16616,51,0,4
0,595908,0,-1003,44844,12056,12813,8174,10404,4576,16616,51,0,4
0,595908,0,-1176,44844,12056,12813,8174,10404,4576,16616,51,0,4
0,595908,0,-81,44844,12056,12813,8174,10404,4576,16616,51,0,4
0,595908,0,183,44844,12056,12813,8174,10404,4576,16616,51,0,4
0,595908,0,875,44844,12056,12813,8174,10404,4576,16616,51,0,4
0,1264651,0,1896,304949,54975,47187,25392,5309,3242,53100,26,0,4
0,1264651,0,1268,304949,54975,47187,25392,5309,3242,53100,26,0,4
0,1264651,0,-12,304949,54975,47187,25392,5309,3242,53100,26,0,4
0,1264651,0,150,304949,54975,47187,25392,5309,3242,53100,26,0,4
0,1264651,0,-490,304949,54975,47187,25392,5309,3242,53100,26,0,4
0,1264651,0,-1510,304949,54975,47187,25392,5309,3242,53100,26,0,4
0,1264651,0,-1033,304949,54975,47187,25392,5309,3242,53100,26,0,4
0,1264651,0,-181,304949,54975,47187,25392,5309,3242,53100,26,0,4
0,1264651,0,86,304949,54975,47187,25392,5309,3242,53100,26,0,4
0,1264651,0,714,304949,54975,47187,25392,5309,3242,53100,26,0,4
0,710931,0,868,9417,2933,4674,9259,10498,16879,12297,26,0,4
0,710931,0,-228,9417,2933,4674,9259,10498,16879,12297,26,0,4
0,710931,0,1288,9417,2933,4674,9259,10498,16879,12297,26,0,4
0,710931,0,251,9417,2933,4674,9259,10498,16879,12297,26,0,4
0,710931,0,80,9417,2933,4674,9259,10498,16879,12297,26,0,4
0,710931,0,50,9417,2933,4674,9259,10498,16879,12297,26,0,4
0,710931,0,43,9417,2933,4674,9259,10498,16879,12297,26,0,4
0,710931,0,-26,9417,2933,4674,9259,10498,16879,12297,26,0,4
0,710931,0,-2048,9417,2933,4674,9259,10498,16879,12297,26,0,4
0,457963,0,-300,50909,10751,9341,4862,4652,1899,3923,51,0,4
0,457963,0,168,50909,10751,9341,4862,4652,1899,3923,51,0,4
0,457963,0,183,50909,10751,9341,4862,4652,1899,3923,51,0,4
0,457963,0,150,50909,10751,9341,4862,4652,1899,3923,51,0,4
0,457963,0,265,50909,10751,9341,4862,4652,1899,3923,51,0,4
