attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,43,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,43,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,1,0,44,0,1,0,1,0,0,0,25,0,2
0,1,0,44,0,1,0,1,0,0,0,25,0,2
0,1,0,44,0,1,0,1,0,0,0,25,0,2
0,1,0,44,0,1,0,1,0,0,0,25,0,2
0,1,0,44,0,1,0,1,0,0,0,25,0,2
0,1,0,44,0,1,0,1,0,0,0,25,0,2
0,1,0,44,0,1,0,1,0,0,0,25,0,2
0,1,0,44,0,1,0,1,0,0,0,25,0,2
0,1,0,44,0,1,0,1,0,0,0,25,0,2
0,1,0,45,0,1,0,1,0,0,0,25,0,2
0,24,0,18,2,0,0,0,1,0,0,25,0,2
0,24,0,676,2,0,0,0,1,0,0,25,0,2
0,24,0,-245,2,0,0,0,1,0,0,25,0,2
0,24,0,-133,2,0,0,0,1,0,0,25,0,2
0,24,0,42,2,0,0,0,1,0,0,25,0,2
0,24,0,193,2,0,0,0,1,0,0,25,0,2
0,24,0,164,2,0,0,0,1,0,0,25,0,2
0,24,0,118,2,0,0,0,1,0,0,25,0,2
0,24,0,-92,2,0,0,0,1,0,0,25,0,2
0,24,0,-150,2,0,0,0,1,0,0,25,0,2
