attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,44,0,0,0,0,0,0,0,0,0,3
0,0,0,44,0,0,0,0,0,0,0,0,0,3
0,0,0,44,0,0,0,0,0,0,0,0,0,3
0,0,0,43,0,0,0,0,0,0,0,0,0,3
0,0,0,44,0,0,0,0,0,0,0,0,0,3
0,0,0,44,0,0,0,0,0,0,0,0,0,3
0,0,0,44,0,0,0,0,0,0,0,0,0,3
0,0,0,44,0,0,0,0,0,0,0,0,0,3
0,3,0,44,4,0,0,1,2,1,0,25,0,3
0,3,0,44,4,0,0,1,2,1,0,25,0,3
0,3,0,44,4,0,0,1,2,1,0,25,0,3
0,3,0,44,4,0,0,1,2,1,0,25,0,3
0,3,0,44,4,0,0,1,2,1,0,25,0,3
0,3,0,44,4,0,0,1,2,1,0,25,0,3
0,3,0,44,4,0,0,1,2,1,0,25,0,3
0,3,0,45,4,0,0,1,2,1,0,25,0,3
0,3,0,45,4,0,0,1,2,1,0,25,0,3
0,3,0,45,4,0,0,1,2,1,0,25,0,3
0,14,0,-251,2,3,0,0,1,1,1,25,0,3
0,14,0,152,2,3,0,0,1,1,1,25,0,3
0,14,0,26,2,3,0,0,1,1,1,25,0,3
0,14,0,170,2,3,0,0,1,1,1,25,0,3
0,14,0,195,2,3,0,0,1,1,1,25,0,3
0,14,0,113,2,3,0,0,1,1,1,25,0,3
0,14,0,212,2,3,0,0,1,1,1,25,0,3
0,14,0,263,2,3,0,0,1,1,1,25,0,3
0,14,0,67,2,3,0,0,1,1,1,25,0,3
0,929466,0,166,239602,8478,25836,13786,10141,4956,242046,25,0,3
0,929466,0,74,239602,8478,25836,13786,10141,4956,242046,25,0,3
0,929466,0,-50,239602,8478,25836,13786,10141,4956,242046,25,0,3
0,929466,0,-5,239602,8478,25836,13786,10141,4956,242046,25,0,3
0,929466,0,42,239602,8478,25836,13786,10141,4956,242046,25,0,3
0,929466,0,128,239602,8478,25836,13786,10141,4956,242046,25,0,3
0,929466,0,165,239602,8478,25836,13786,10141,4956,242046,25,0,3
0,929466,0,91,239602,8478,25836,13786,10141,4956,242046,25,0,3
0,929466,0,70,239602,8478,25836,13786,10141,4956,242046,25,0,3
0,929466,0,5,239602,8478,25836,13786,10141,4956,242046,25,0,3
0,1383687,0,38,134217,23642,16357,13254,7673,1303,259795,0,0,3
0,1383687,0,138,134217,23642,16357,13254,7673,1303,259795,0,0,3
0,1383687,0,119,134217,23642,16357,13254,7673,1303,259795,0,0,3
0,1383687,0,-101,134217,23642,16357,13254,7673,1303,259795,0,0,3
0,1383687,0,-29,134217,23642,16357,13254,7673,1303,259795,0,0,3
0,1383687,0,48,134217,23642,16357,13254,7673,1303,259795,0,0,3
0,1383687,0,85,134217,23642,16357,13254,7673,1303,259795,0,0,3
0,1383687,0,87,134217,23642,16357,13254,7673,1303,259795,0,0,3
0,1383687,0,135,134217,23642,16357,13254,7673,1303,259795,0,0,3
0,1383687,0,55,134217,23642,16357,13254,7673,1303,259795,0,0,3
0,259988,0,182,19789,4637,13169,2169,882,395,70180,0,0,3
0,259988,0,234,19789,4637,13169,2169,882,395,70180,0,0,3
0,259988,0,53,19789,4637,13169,2169,882,395,70180,0,0,3
0,259988,0,32,19789,4637,13169,2169,882,395,70180,0,0,3
0,259988,0,-61,19789,4637,13169,2169,882,395,70180,0,0,3
0,259988,0,-24,19789,4637,13169,2169,882,395,70180,0,0,3
0,259988,0,74,19789,4637,13169,2169,882,395,70180,0,0,3
0,259988,0,-2,19789,4637,13169,2169,882,395,70180,0,0,3
0,259988,0,123,19789,4637,13169,2169,882,395,70180,0,0,3
0,259988,0,102,19789,4637,13169,2169,882,395,70180,0,0,3
0,131175,0,60,29587,11538,6919,4881,4081,519,68123,0,0,3
0,131175,0,120,29587,11538,6919,4881,4081,519,68123,0,0,3
0,131175,0,165,29587,11538,6919,4881,4081,519,68123,0,0,3
0,131175,0,136,29587,11538,6919,4881,4081,519,68123,0,0,3
0,131175,0,0,29587,11538,6919,4881,4081,519,68123,0,0,3
0,131175,0,-60,29587,11538,6919,4881,4081,519,68123,0,0,3
0,131175,0,-39,29587,11538,6919,4881,4081,519,68123,0,0,3
0,131175,0,224,29587,11538,6919,4881,4081,519,68123,0,0,3
0,131175,0,204,29587,11538,6919,4881,4081,519,68123,0,0,3
0,131175,0,-202,29587,11538,6919,4881,4081,519,68123,0,0,3
51,255081,34,-115,29915,9061,2394,8135,3642,446,85912,0,0,3
51,255081,34,146,29915,9061,2394,8135,3642,446,85912,0,0,3
51,255081,34,474,29915,9061,2394,8135,3642,446,85912,0,0,3
51,255081,34,375,29915,9061,2394,8135,3642,446,85912,0,0,3
51,255081,34,113,29915,9061,2394,8135,3642,446,85912,0,0,3
51,255081,34,259,29915,9061,2394,8135,3642,446,85912,0,0,3
51,255081,34,-259,29915,9061,2394,8135,3642,446,85912,0,0,3
51,255081,34,18,29915,9061,2394,8135,3642,446,85912,0,0,3
51,255081,34,80,29915,9061,2394,8135,3642,446,85912,0,0,3
51,255081,34,150,29915,9061,2394,8135,3642,446,85912,0,0,3
74,984876,34,-38,1212629,88861,483311,4619,287575,7531,1783918,0,0,3
74,984876,34,-33,1212629,88861,483311,4619,287575,7531,1783918,0,0,3
74,984876,34,70,1212629,88861,483311,4619,287575,7531,1783918,0,0,3
74,984876,34,288,1212629,88861,483311,4619,287575,7531,1783918,0,0,3
74,984876,34,274,1212629,88861,483311,4619,287575,7531,1783918,0,0,3
74,984876,34,16,1212629,88861,483311,4619,287575,7531,1783918,0,0,3
74,984876,34,-102,1212629,88861,483311,4619,287575,7531,1783918,0,0,3
